Timestamp,Enter a random floating-point number between 0 and 1.
9/14/2017 20:07,0.635
9/14/2017 20:07,0.1
9/14/2017 20:07,0.258
9/14/2017 20:07,0.69
9/14/2017 20:07,0.883
9/14/2017 20:07,0.02938
9/14/2017 20:07,0.9999999
9/14/2017 20:07,0.2789
9/14/2017 20:07,0.4962
9/14/2017 20:07,0.78
9/14/2017 20:07,0.9999
9/14/2017 20:07,0.35748293
9/14/2017 20:07,0.8
9/14/2017 20:07,0.179
9/14/2017 20:07,0.611
9/14/2017 20:07,0.45
9/14/2017 20:07,0.5423
9/14/2017 20:07,0.39283
9/14/2017 20:07,0.12345567
9/14/2017 20:07,0.5534
9/14/2017 20:07,0.6905
9/14/2017 20:07,0.02
9/14/2017 20:07,0.67
9/14/2017 20:07,0.23123
9/14/2017 20:07,0.34
9/14/2017 20:07,0.3622
9/14/2017 20:07,0.8777
9/14/2017 20:07,0.369
9/14/2017 20:07,0.005
9/14/2017 20:07,0.69
9/14/2017 20:08,0.43728948
9/14/2017 20:08,0.521326545
9/14/2017 20:08,0.33333
9/14/2017 20:08,0.2367
9/14/2017 20:08,0.47
9/14/2017 20:08,0.43252
9/14/2017 20:08,0.598321
9/14/2017 20:08,0.123456789
9/14/2017 20:08,0.666666
9/14/2017 20:08,0.3123155
9/14/2017 20:08,0.4534
9/14/2017 20:08,0.79
9/14/2017 20:08,0.394829835
9/14/2017 20:08,0.8765
9/14/2017 20:08,0.129383
9/14/2017 20:08,0.4127
9/14/2017 20:08,0.314
9/14/2017 20:08,0.0214
9/14/2017 20:08,0.89342
9/14/2017 20:08,0.11
9/14/2017 20:08,0.765
9/14/2017 20:08,0.324879871
9/14/2017 20:08,0.9854
9/14/2017 20:08,0.254987898
9/14/2017 20:08,0.38383838
9/14/2017 20:08,0.5135
9/14/2017 20:08,0.73563
9/14/2017 20:08,0.234
9/14/2017 20:08,0.218979849
9/14/2017 20:08,0.75112515
9/14/2017 20:08,0.0102948
9/14/2017 20:08,0.2221
9/14/2017 20:08,0.1034
9/14/2017 20:08,0.9236
9/14/2017 20:08,0.3278
9/14/2017 20:08,0.394984849
9/14/2017 20:08,0.36
9/14/2017 20:08,0.78633
9/14/2017 20:08,0.9384902
9/14/2017 20:08,0.63537
9/14/2017 20:08,0.67
9/14/2017 20:08,0.699445621
9/14/2017 20:08,0.89
9/14/2017 20:08,0.1278
9/14/2017 20:08,0.9832
9/14/2017 20:08,0.1616
9/14/2017 20:08,0.8421
9/14/2017 20:08,0.1
9/14/2017 20:08,0.735
9/14/2017 20:08,0.281984798
9/14/2017 20:08,0.78439
9/14/2017 20:08,0.15954564
9/14/2017 20:08,0.0067
9/14/2017 20:08,0.8473
9/14/2017 20:08,0.5674
9/14/2017 20:08,0.328794828
9/14/2017 20:08,0.624353
9/14/2017 20:08,0.0000001
9/14/2017 20:08,0.6
9/14/2017 20:08,0.0579
9/14/2017 20:08,0.41
9/14/2017 20:08,0.578945
9/14/2017 20:08,0.7521
9/14/2017 20:08,0.72345
9/14/2017 20:08,0.32131321
9/14/2017 20:08,0.6452838
9/14/2017 20:09,0.23847971
9/14/2017 20:09,0.056
9/14/2017 20:09,0.579
9/14/2017 20:09,0.789511582
9/14/2017 20:09,0.389849828
9/14/2017 20:09,0.5942
9/14/2017 20:09,0.345
9/14/2017 20:09,0.43798
9/14/2017 20:09,0.4807
9/14/2017 20:09,0.9247
9/14/2017 20:09,0.13029412
9/14/2017 20:09,0.328498798
9/14/2017 20:09,0.78
9/14/2017 20:09,0.19745
9/14/2017 20:09,0.045
9/14/2017 20:09,0.879857494
9/14/2017 20:09,0.93828401
9/14/2017 20:09,0.61
9/14/2017 20:09,0.2789
9/14/2017 20:09,0.925545
9/14/2017 20:09,0.8632
9/14/2017 20:09,0.485983798
9/14/2017 20:09,1
9/14/2017 20:09,0.6234
9/14/2017 20:09,0.245656168
9/14/2017 20:09,0.098
9/14/2017 20:09,0.846532132
9/14/2017 20:09,0.63
9/14/2017 20:09,0.4469
9/14/2017 20:09,0.438759879
9/14/2017 20:09,0.0324
9/14/2017 20:09,1
9/14/2017 20:09,0.2345897
9/14/2017 20:09,0.5831
9/14/2017 20:09,0.328749828
9/14/2017 20:09,0.178
9/14/2017 20:10,1
9/14/2017 20:10,0.64
9/14/2017 20:10,0.5908
9/14/2017 20:10,0.3517908
9/14/2017 20:10,0.9456
9/14/2017 20:10,0.356513217
9/14/2017 20:10,0.9963
9/14/2017 20:10,0.53789
9/14/2017 20:10,0.1352789
9/14/2017 20:10,0.231987
9/14/2017 20:10,0.5073
9/14/2017 20:10,0.5684
9/14/2017 20:10,0.5905
9/14/2017 20:10,0.549
9/14/2017 20:10,0.2345987
9/14/2017 20:10,0.9456
